fold,mae,rmse
1,15.520916426086423,29.01391040037148
2,10.381459480667113,16.096592007659492
3,12.89992538647651,21.214053656380496
4,12.438649201679228,21.531051311990467
5,10.414213086318972,17.956433947577253
6,11.81141540389061,19.042985585398984
7,21.32107416644096,44.92082574860012
8,10.087718345069888,15.23931161276931
9,12.166129704475402,19.638709302126685
10,8.734110747718812,14.478851558598095
11,10.41184474539757,18.90820666977908
12,9.686340887880329,16.636398781944564
13,13.2858154091835,28.161591967390233
14,14.605012251186372,24.289348069001917
15,12.943548518753055,23.137452823139288
16,9.784037022256848,15.57736632703078
17,9.048944374465941,19.254394498201304
18,10.419310612487793,21.175500458767882
19,9.761435219192505,18.887908309804
20,9.095192124843598,16.251626308400066
21,7.8597837383270255,14.146203794325194
22,5.822380195903779,10.534156251082711
23,8.114839812326432,20.24103112934834
24,5.2176130681991575,9.350276773492297
25,5.753578295469283,9.640088152088317
26,6.504720361137389,10.825845055211166
27,6.1196183773040795,9.632296756879484
28,4.8190976148128515,8.504487744019285
29,4.177639952278137,7.608750884586491
30,10.493695328712462,23.362359515948963
31,4.622852700519562,8.502066956794215
32,4.156146777343749,7.8023420409409185
33,6.170913182640075,11.869564333643092
34,3.052246986484527,8.927719902693111
35,4.221692189216615,7.6349054733974775
36,3.0931745208740242,6.390613025148102
37,3.687475439286233,7.475759622637304
38,4.7269551939010634,9.705305815197255
39,5.500701025986673,10.7733236238494
40,5.591487715125084,12.219309304299857
41,6.945634517860412,12.685609926795243
42,4.258567815303803,8.051813967743183
43,3.57560841655731,6.385042622950134
44,6.333841868543625,12.209300525882973
45,5.77518929681778,10.211813051005684
46,13.58220831418037,40.04573111749243
47,10.131563252449036,17.64140746225679
48,9.202366183567047,14.805953408727127
49,5.809755699181559,9.502406757588966
50,10.81907360610962,19.81125154472567
51,14.872139852142332,27.665908414128584
52,13.435015500736238,24.492736284593107
53,8.232357884979248,14.89521201435539
54,9.88332900981903,17.704149721915325
55,10.29476806464195,17.647621704134384
56,12.805178273916244,22.05351679790587
57,11.374345482969286,20.317215728764367
58,11.393341911792756,20.38959068175611
59,10.86831972360611,19.379553611537194
60,13.948327239942552,26.866077808730704
61,10.595578593254091,19.276775229512463
62,12.441846615791324,21.947586741480393
63,15.115129348230363,26.356266533531645
64,14.573913764619824,24.314085206037724
65,14.58857174217701,24.970127051817492
66,10.3143527074337,18.656408543180227
