fold,mae,rmse
1,0.11243967055038771,0.15295418287525672
2,0.12927886790159143,0.16299259425994891
3,0.13043144855216413,0.1744689745835544
4,0.12282537907336386,0.1550030572809862
5,0.1280283266429672,0.16446801618365697
6,0.13264776922184432,0.165735270662775
7,0.12835649341661445,0.1685427362820368
8,0.18877108553244323,0.23686806630694845
9,0.18688228242142865,0.2290357746487582
10,0.154064237666847,0.18504181358182864
11,0.13972116103625334,0.18208283577959314
12,0.13940399660795547,0.17250362401069938
13,0.1275246032479274,0.16711867921420714
14,0.09433376725492047,0.11891758459370809
15,0.0889121185184263,0.12136751448503583
16,0.12300802276004273,0.15516612246462252
17,0.10573306215466452,0.13805627397419404
18,0.1530268220508592,0.1933967251407288
19,0.10856982490256424,0.15306654475848444
20,0.11624394921192391,0.14881036239537798
21,0.0826422089664279,0.11283211008007622
22,0.120145171299976,0.1487036083400778
23,0.10924716200750276,0.14724635373510092
24,0.12155143864616445,0.14403957129798217
25,0.1293679594112541,0.17820610521030733
26,0.09895238993543234,0.15249686113030372
27,0.08801136356122413,0.12029124364667174
28,0.12050342092708272,0.15671404732599178
29,0.09934655248569277,0.16723034126862482
30,0.12161296887900377,0.21100787152951864
31,0.1067847840555569,0.14859145152012176
32,0.1092788079321822,0.1514520960002095
33,0.1096586455331991,0.15281333040252992
34,0.09869171289651753,0.1391840696366533
35,0.08547766751230887,0.12170940297640659
36,0.0769896043926536,0.11797242061972982
37,0.07840233104512194,0.11462399899377708
38,0.09676781715894867,0.14052530166724642
39,0.07051276557214867,0.10717295859478602
40,0.09630829262844907,0.15134154244136205
41,0.08322908183286168,0.12960197535671464
42,0.09847228917271222,0.14949195598122564
43,0.08244678286499534,0.12998130435887142
44,0.08139099089607296,0.1238205751174673
45,0.0927817117973004,0.15263251121416713
46,0.08732096023329879,0.12521306302145968
47,0.10050072242557712,0.1364428125049583
48,0.07598411878501815,0.11633238678632665
49,0.10637759479620151,0.16072304095077722
50,0.0912897007871239,0.14695456815722882
51,0.07649714804883147,0.11044715476880322
52,0.10658294233542984,0.1593655405690925
53,0.0918250765128686,0.1181758264410262
54,0.07517267981864281,0.10042497126792374
55,0.1134622528617984,0.16704480439563194
56,0.11184478183909902,0.15512042695245354
57,0.0935474863876605,0.12496861958985538
58,0.10689208508979067,0.1657973445120244
59,0.12379606225640961,0.17750375144490438
60,0.14580228039731952,0.19289365978521486
61,0.13277702741186892,0.18738096333515528
62,0.1693625071956827,0.22679954980672737
63,0.13563716137317416,0.17052356667493593
64,0.11429260213246695,0.15964122632779276
65,0.1527187118132898,0.20002440297994378
66,0.13149010567062458,0.1807822681982839
67,0.113904497570453,0.16772911307212693
68,0.1066403967664161,0.16979331576198403
69,0.1371622986362556,0.19754866022168713
70,0.10951492830677054,0.15224385402519675
71,0.12918759169568314,0.17082532031503847
72,0.15559687048287413,0.18714868751706035
73,0.1363672543465979,0.18443646253719032
74,0.12931473989002062,0.17298016195349694
75,0.14399731643790545,0.19434832153813406
76,0.13340867890113137,0.1661721287312828
77,0.16063797183731057,0.22442254536340364
78,0.157571659846016,0.19511072675029897
79,0.12236347765913351,0.1598822965773281
80,0.1162281279520877,0.15405217324813175
81,0.15820017093253325,0.21532473306622915
82,0.11300166715154578,0.13993333125652585
83,0.15508543314806636,0.19074050118179023
84,0.15172192173728077,0.20504743122669525
85,0.12242312319971069,0.16308992860379046
86,0.15947878752281588,0.19207565026712078
87,0.1714925803140041,0.21428276500753926
88,0.15491634759102324,0.19492189885282576
89,0.1326074657325493,0.17492712713939979
90,0.16051276062706119,0.19596215870041941
91,0.10208068260373344,0.13454604345354323
92,0.13813169595445118,0.18551138047062923
93,0.14486998309537344,0.18434254199576605
94,0.14222150015805787,0.1795464155724424
95,0.13295912173730012,0.16762913928051118
96,0.14497373093076768,0.17642668347078944
97,0.1447840654460218,0.17772727583942094
98,0.11783507233336304,0.15437213648507547
99,0.12428845499696571,0.16601921958052288
100,0.1325680561386126,0.16525713841817302
101,0.1484280179543817,0.18046788829863902
102,0.1405535621372828,0.1700242996564943
103,0.12393760937188292,0.16214196742568454
104,0.11735311617898708,0.14688872777423753
105,0.16610136813134904,0.19697698687184095
106,0.1086124519985179,0.1319551461709472
107,0.10921945914767502,0.14213832794379663
108,0.10013193799773451,0.12436707354514846
109,0.10848360265089266,0.14752674591978338
110,0.09447532242983017,0.13149263810042247
111,0.12053351675385458,0.15373585673992793
112,0.09743637470273332,0.13815737930882344
113,0.09479891548411076,0.13254398019345184
114,0.11064907557897888,0.14185318391967905
115,0.0806682638141967,0.10074069417662504
116,0.1853242540419079,0.22450421797131664
117,0.10856506810509081,0.16178441024346385
118,0.12978323393191724,0.17634657178987573
119,0.12557805038472789,0.15956894065117128
120,0.08441050106385127,0.13326030633305647
121,0.08386179924638619,0.11749684721032994
122,0.09111771780353763,0.12620899308569472
123,0.0984724893326229,0.13098038195310838
124,0.09178109190841857,0.11830823992649239
125,0.07654477243320004,0.10549016938371762
